"","directorio","p6050","fex_c","ingtot","ocu","p6210s1","p6210","maxEducLevel","p6426","age","sex","estrato1","formal","informal","clase","oficio","sizeFirm","p7040","hoursWorkUsual","relab","cuentaPropia","microEmpresa","college","mean_ingtot","ingtot_boxcox","age_2","nuevo_pred","residuos","prediccion1","prediccion1_boxcox","female","log_income","predict_gender","femalenum","res_y","res_f","maxEducLevel_years","p6210_years","exp_pot_maxedu","exp_pot_p6210","exp_pot_p6210_2","dos_trabajo"
"1","4514331","1",254.687742271476,1840833.33333333,"1","11","5","6",166,36,"1","2","1","0","1","39","5","2",45,"2","0","0","1",1840833.33333333,18.7375009403451,1296,1622754.64846058,218078.684872749,1622754.64846104,18.0423001624256,"0",14.4257289256083,1738363.24503545,0,0.317582589186775,-0.405159689012163,11,13,20,18,324,0
"2","4514333","1",194.208921972393,1878973.33333333,"1","3","6","7",12,51,"1","2","1","0","1","85","3","2",48,"1","0","0","0",1878973.33333333,18.7713935268658,2601,1885520.43632996,-6547.10299663347,1885520.43633001,18.0682708410467,"0",14.4462360863488,2083702.74024952,0,0.178119666561149,-0.530577916297673,15,19,31,27,729,0
"3","4514334","1",243.45515246432,883357,"1","5","3","4",15,45,"1","2","1","0","1","45","2","2",56,"1","0","1","0",883357,17.5398024306941,2025,1818648.3985303,-935291.398530295,1818648.39853032,18.1159466893698,"0",13.6914847013882,2002209.9570329,0,-0.166736127422661,-0.416409829566109,5,5,35,35,1225,0
"4","4514335","1",230.177656890553,1200000,"1","3","3","3",120,61,"1","2","0","1","1","53","4","2",40,"1","0","0","0",1200000,18.03579778489,3721,1883687.08496534,-683687.08496534,1883687.08496535,17.8167692574815,"0",13.9978321147582,2051692.89044311,0,0.696530714241911,-0.432119774277169,4,5,52,51,2601,0
"5","4514338","2",341.979787849128,1941500,"1","5","6","7",24,35,"0","2","1","0","1","13","5","2",48,"2","0","0","0",1941500,18.8255460193775,1225,1593908.25450002,347591.745499985,1593908.25450003,18.0233646002148,"1",14.4789714281539,1685584.14092843,1,0.222075697578631,0.477430755418271,15,19,15,11,121,0
"6","4514339","1",352.079215448786,1083000,"1","11","5","6",36,35,"0","2","1","0","1","42","5","2",40,"1","0","0","1",1399666.66666667,17.8691144922804,1225,1593908.25450002,-510908.254500015,1593908.25450003,18.0233646002148,"1",13.8952455259831,1673346.13641853,1,-0.0619438314365953,0.565183630540371,11,13,19,17,289,0
"7","4514339","2",352.079215448786,1716333.33333333,"1","7","6","7",94,39,"1","2","1","0","1","33","5","2",44,"1","0","0","0",1399666.66666667,18.6219462389418,1521,1700797.32426675,15536.0090665753,1700797.32426677,18.0862037113309,"0",14.3557007903602,1415667.3270869,0,-0.0102476558259563,-0.514609018435826,15,19,19,15,225,0
"8","4514342","3",254.687742271476,1e+06,"1","2","6","7",6,29,"1","2","0","1","1","37","1","2",40,"4","1","1","0",1e+06,17.7399710600835,841,1391092.11946335,-391092.119463353,1391092.11946336,17.8645902449057,"0",13.8155105579643,1518355.60798445,0,0.170324532118725,-0.569441642155746,15,19,9,5,25,0
"9","4514343","1",429.27183342678,779000,"1","11","5","6",24,29,"1","2","1","0","1","45","2","2",54,"1","0","1","1",779000,17.3377820813573,841,1391092.11946335,-612092.119463353,1391092.11946336,17.8645902449057,"0",13.5657663248529,2096073.47360207,0,-0.294845307569621,-0.413045464919655,11,13,13,11,121,0
"10","4514344","2",205.425424579072,3e+05,"1","8","4","5",6,44,"0","2","0","1","1","57","1","2",42,"4","1","1","0",3e+05,15.832885316385,1936,1802546.76368526,-1502546.76368526,1802546.76368527,18.1163658337496,"1",12.6115377536383,1677661.72676605,1,-0.712528860957786,0.482249437260045,10,9,29,30,900,0
"11","4514345","3",173.941869400003,2121000,"1","11","5","6",24,31,"1","2","1","0","1","45","5","2",55,"1","0","0","1",1185500,18.9721350032373,961,1464361.83519378,656638.164806219,1464361.83519379,17.9261171218268,"0",14.5673982335468,1468060.41225547,0,0.67441811980979,-0.422692627417049,11,13,15,13,169,0
"12","4514345","3",173.941869400003,250000,"1","11","5","6",18,18,"0","2","0","1","1","45","2","2",84,"1","0","1","1",1185500,15.5509927432217,324,886858.652191379,-636858.652191379,886858.652191388,17.3724300305932,"1",12.4292161968444,1418379.77719581,1,-0.657553972534405,0.596180870347028,11,13,2,0,0,0
"13","4514346","1",238.640556816578,9e+05,"1","11","5","6",2,55,"1","2","0","1","1","84","2","2",48,"5","0","1","1",9e+05,17.5698717168362,3025,1901780.10793876,-1001780.10793876,1901780.10793877,17.9934764830747,"0",13.7101500423064,1738363.24503545,0,0.313301965093473,-0.502847832775507,11,13,39,37,1369,0
"14","4514348","1",347.558417964202,820857,"1","5","3","4",30,56,"0","2","1","0","1","55","5","2",48,"1","0","0","0",820857,17.4217778763327,3136,1902304.8149754,-1081447.8149754,1902304.81497541,17.9694015861954,"1",13.6181041954319,1606048.12345775,1,-0.179948848777209,0.612536750665064,5,5,46,46,2116,0
"15","4514349","3",243.471239664797,1226333.41666667,"1","4","6","7",51,23,"1","2","1","0","1","39","5","2",40,"1","0","0","0",1232070.04166667,18.0711441198543,529,1137296.94796283,89036.4687038444,1137296.94796284,17.6283970632346,"0",14.0195393133721,2083702.74024952,0,-0.0588846307946531,-0.453757404174131,15,19,3,0,0,0
